"","code","cdk_id"
"483","E-3","gtfs.line.1.e3-1"
"484","E-3","gtfs.line.1.e3-0"
"485","E-2","gtfs.line.1.e2-1"
"486","E-2","gtfs.line.1.e2-0"
"487","E-10","gtfs.line.1.e10-1"
"488","E-10","gtfs.line.1.e10-0"
"489","DT2","gtfs.line.1.dt2-0"
"490","DT1","gtfs.line.1.dt1-0"
"491","9Ş","gtfs.line.1.9-1"
"492","9Ş","gtfs.line.1.9-0"
"493","9ÜD","gtfs.line.1.9d-1"
"494","9ÜD","gtfs.line.1.9d-0"
"495","9ÇN","gtfs.line.1.9n-1"
"496","9ÇN","gtfs.line.1.9n-0"
"497","9A","gtfs.line.1.9a-0"
"498","99A","gtfs.line.1.99a-1"
"499","99A","gtfs.line.1.99a-0"
"500","99","gtfs.line.1.99-1"
"501","98İ","gtfs.line.1.98-1"
"502","28T","gtfs.line.1.28t-1"
"503","28T","gtfs.line.1.28t-0"
"504","28O","gtfs.line.1.28o-1"
"505","28O","gtfs.line.1.28o-0"
"506","28","gtfs.line.1.28-1"
"507","28","gtfs.line.1.28-0"
"508","27E","gtfs.line.1.27e-0"
"509","26B","gtfs.line.1.26b-1"
"510","26B","gtfs.line.1.26b-0"
"511","26A","gtfs.line.1.26a-1"
"512","26A","gtfs.line.1.26a-0"
"513","26","gtfs.line.1.26-1"
"514","26","gtfs.line.1.26-0"
"515","25Y","gtfs.line.1.25y-1"
"516","25Y","gtfs.line.1.25y-0"
"517","25T","gtfs.line.1.25t-1"
"518","25T","gtfs.line.1.25t-0"
"519","25H","gtfs.line.1.25h-0"
"520","25G","gtfs.line.1.25g-1"
"521","25G","gtfs.line.1.25g-0"
"522","25E","gtfs.line.1.25e-1"
"523","25E","gtfs.line.1.25e-0"
"524","25A","gtfs.line.1.25a-1"
"525","25A","gtfs.line.1.25a-0"
"526","256","gtfs.line.1.256-1"
"527","256","gtfs.line.1.256-0"
"528","16KH","gtfs.line.1.16kh-1"
"529","16KH","gtfs.line.1.16kh-0"
"530","16K","gtfs.line.1.16k-1"
"531","16K","gtfs.line.1.16k-0"
"532","16F","gtfs.line.1.16f-1"
"533","16F","gtfs.line.1.16f-0"
"534","16D","gtfs.line.1.16d-1"
"535","16D","gtfs.line.1.16d-0"
"536","16C","gtfs.line.1.16c-1"
"537","16C","gtfs.line.1.16c-0"
"538","16B","gtfs.line.1.16b-1"
"539","16B","gtfs.line.1.16b-0"
"540","16A","gtfs.line.1.16a-1"
"541","16A","gtfs.line.1.16a-0"
"542","16","gtfs.line.1.16-1"
"543","16","gtfs.line.1.16-0"
"544","15ŞN","gtfs.line.1.15n-1"
"545","15ŞN","gtfs.line.1.15n-0"
"546","15ÇK","gtfs.line.1.15k-1"
"547","15ÇK","gtfs.line.1.15k-0"
"548","15Y","gtfs.line.1.15y-0"
"549","15U","gtfs.line.1.15u-1"
"550","15U","gtfs.line.1.15u-0"
"551","15TY","gtfs.line.1.15ty-1"
"552","15TY","gtfs.line.1.15ty-0"
"553","15S","gtfs.line.1.15s-1"
"554","15S","gtfs.line.1.15s-0"
"555","15R","gtfs.line.1.15r-1"
"556","15R","gtfs.line.1.15r-0"
"557","15P","gtfs.line.1.15p-1"
"558","15P","gtfs.line.1.15p-0"
"559","15E","gtfs.line.1.15e-1"
"560","15E","gtfs.line.1.15e-0"
"561","15D","gtfs.line.1.15d-1"
"562","15D","gtfs.line.1.15d-0"
"563","15C","gtfs.line.1.15c-1"
"564","15C","gtfs.line.1.15c-0"
"565","15BK","gtfs.line.1.15bk-1"
"566","15BK","gtfs.line.1.15bk-0"
"567","15B","gtfs.line.1.15b-1"
"568","15B","gtfs.line.1.15b-0"
"569","15A","gtfs.line.1.15a-1"
"570","15A","gtfs.line.1.15a-0"
"571","153","gtfs.line.1.153-1"
"572","153","gtfs.line.1.153-0"
"573","152","gtfs.line.1.152-1"
"574","152","gtfs.line.1.152-0"
"575","151","gtfs.line.1.151-1"
"576","151","gtfs.line.1.151-0"
"577","150","gtfs.line.1.150-1"
"578","150","gtfs.line.1.150-0"
"579","15","gtfs.line.1.15-1"
"580","15","gtfs.line.1.15-0"
"581","14ŞB","gtfs.line.1.14b-1"
"582","14ŞB","gtfs.line.1.14b-0"
"583","14ÇK","gtfs.line.1.14k-1"
"584","14ÇK","gtfs.line.1.14k-0"
"585","14Y","gtfs.line.1.14y-1"
"586","14Y","gtfs.line.1.14y-0"
"587","14S","gtfs.line.1.14s-1"
"588","14S","gtfs.line.1.14s-0"
"589","14R","gtfs.line.1.14r-1"
"590","14R","gtfs.line.1.14r-0"
"591","14M","gtfs.line.1.14m-1"
"592","14M","gtfs.line.1.14m-0"
"593","14KS","gtfs.line.1.14ks-1"
"594","14KS","gtfs.line.1.14ks-0"
"595","14F","gtfs.line.1.14f-1"
"596","14F","gtfs.line.1.14f-0"
"597","14ES","gtfs.line.1.14es-1"
"598","14E","gtfs.line.1.14e-1"
"599","14E","gtfs.line.1.14e-0"
"600","14DK","gtfs.line.1.14dk-1"
"601","14DK","gtfs.line.1.14dk-0"
"602","14D","gtfs.line.1.14d-1"
"603","14D","gtfs.line.1.14d-0"
"604","14C","gtfs.line.1.14c-1"
"605","14C","gtfs.line.1.14c-0"
"606","14BK","gtfs.line.1.14bk-1"
"607","14BK","gtfs.line.1.14bk-0"
"608","14AK","gtfs.line.1.14ak-1"
"609","14A","gtfs.line.1.14a-1"
"610","14A","gtfs.line.1.14a-0"
"611","147","gtfs.line.1.147-1"
"612","147","gtfs.line.1.147-0"
"613","146T","gtfs.line.1.146t-1"
"614","146T","gtfs.line.1.146t-0"
"615","146M","gtfs.line.1.146m-1"
"616","146M","gtfs.line.1.146m-0"
"617","146B","gtfs.line.1.146b-1"
"618","146B","gtfs.line.1.146b-0"
"619","146","gtfs.line.1.146-1"
"620","146","gtfs.line.1.146-0"
"621","145T","gtfs.line.1.145t-1"
"622","145T","gtfs.line.1.145t-0"
"623","145M","gtfs.line.1.145m-1"
"624","145M","gtfs.line.1.145m-0"
"625","145","gtfs.line.1.145-1"
"626","145","gtfs.line.1.145-0"
"627","143","gtfs.line.1.143-1"
"628","143","gtfs.line.1.143-0"
"629","142F","gtfs.line.1.142f-1"
"630","142F","gtfs.line.1.142f-0"
"631","142A","gtfs.line.1.142a-1"
"632","142A","gtfs.line.1.142a-0"
"633","142","gtfs.line.1.142-1"
"634","142","gtfs.line.1.142-0"
"635","14","gtfs.line.1.14-1"
"636","14","gtfs.line.1.14-0"
"637","13B","gtfs.line.1.13b-1"
"638","13B","gtfs.line.1.13b-0"
"639","13AB","gtfs.line.1.13ab-1"
"640","13AB","gtfs.line.1.13ab-0"
"641","139T","gtfs.line.1.139t-1"
"642","139T","gtfs.line.1.139t-0"
"643","139A","gtfs.line.1.139a-1"
"644","139A","gtfs.line.1.139a-0"
"645","139","gtfs.line.1.139-1"
"646","139","gtfs.line.1.139-0"
"647","138","gtfs.line.1.138-1"
"648","138","gtfs.line.1.138-0"
"649","137","gtfs.line.1.137-1"
"650","137","gtfs.line.1.137-0"
"651","136","gtfs.line.1.136-1"
"652","136","gtfs.line.1.136-0"
"653","135K","gtfs.line.1.135k-1"
"654","135K","gtfs.line.1.135k-0"
"655","135G","gtfs.line.1.135g-1"
"656","135G","gtfs.line.1.135g-0"
"657","135A","gtfs.line.1.135a-1"
"658","135A","gtfs.line.1.135a-0"
"659","135","gtfs.line.1.135-1"
"660","135","gtfs.line.1.135-0"
"661","134YK","gtfs.line.1.134yk-1"
"662","134YK","gtfs.line.1.134yk-0"
"663","134UK","gtfs.line.1.134uk-1"
"664","134UK","gtfs.line.1.134uk-0"
"665","134GK","gtfs.line.1.134gk-1"
"666","134GK","gtfs.line.1.134gk-0"
"667","134DK","gtfs.line.1.134dk-1"
"668","134DK","gtfs.line.1.134dk-0"
"669","134CK","gtfs.line.1.134ck-1"
"670","134CK","gtfs.line.1.134ck-0"
"671","134BK","gtfs.line.1.134bk-1"
"672","134BK","gtfs.line.1.134bk-0"
"673","134","gtfs.line.1.134-1"
"674","134","gtfs.line.1.134-0"
"675","133Ş","gtfs.line.1.133-1"
"676","133Ş","gtfs.line.1.133-0"
"677","133TK","gtfs.line.1.133tk-1"
"678","133TK","gtfs.line.1.133tk-0"
"679","133T","gtfs.line.1.133t-1"
"680","133T","gtfs.line.1.133t-0"
"681","133P","gtfs.line.1.133p-1"
"682","133P","gtfs.line.1.133p-0"
"683","133M","gtfs.line.1.133m-1"
"684","133M","gtfs.line.1.133m-0"
"685","133K","gtfs.line.1.133k-1"
"686","133K","gtfs.line.1.133k-0"
"687","133GP","gtfs.line.1.133gp-1"
"688","133GP","gtfs.line.1.133gp-0"
"689","133G","gtfs.line.1.133g-1"
"690","133G","gtfs.line.1.133g-0"
"691","133F","gtfs.line.1.133f-1"
"692","133F","gtfs.line.1.133f-0"
"693","133AK","gtfs.line.1.133ak-1"
"694","133AK","gtfs.line.1.133ak-0"
"695","133A","gtfs.line.1.133a-1"
"696","133A","gtfs.line.1.133a-0"
"697","132V","gtfs.line.1.132v-0"
"698","132S","gtfs.line.1.132s-0"
"699","132P","gtfs.line.1.132p-1"
"700","132P","gtfs.line.1.132p-0"
"701","132K","gtfs.line.1.132k-1"
"702","132K","gtfs.line.1.132k-0"
"703","132F","gtfs.line.1.132f-1"
"704","132F","gtfs.line.1.132f-0"
"706","59C","gtfs.line.1.59c-0"
"707","59B","gtfs.line.1.59b-0"
"708","59A","gtfs.line.1.59a-0"
"709","58S","gtfs.line.1.58s-0"
"710","57UL","gtfs.line.1.57ul-1"
"711","57UL","gtfs.line.1.57ul-0"
